handle,name,platform,niche,followers,avg_engagement_rate,location,verified,fake_followers_pct,data_repaired_flag,recent_posts_sampled_sim,luxury_post_count_sim,jewelry_post_count_sim,fashion_apparel_post_count_sim,beauty_post_count_sim,lifestyle_post_count_sim,luxury_post_ratio_sim,jewelry_post_ratio_sim,fashion_apparel_post_ratio_sim,beauty_post_ratio_sim,lifestyle_post_ratio_sim,past_campaign_count_sim,past_luxury_campaign_count_sim,past_successful_campaign_count_sim,past_successful_luxury_campaign_count_sim,past_campaign_success_rate_sim,past_luxury_campaign_success_rate_sim,avg_campaign_roas_sim,avg_sales_uplift_pct_sim,avg_conversion_rate_pct_sim,simulated_campaign_success_target,synthetic_data_flag,synthetic_generation_version
@blackpink,BLACKPINK,youtube,lifestyle,100000000.0,8.35,KR,FALSE,0.0,0,20,10,1,8,4,13,0.5,0.05,0.4,0.2,0.65,12,7,4,2,0.3333,0.2857,2.06,17.65,1.38,1,1,v1_deterministic
@chuchutv,ChuChu TV Nursery Rhymes & Kids Songs,youtube,travel,98100000.0,50,,FALSE,0.0,0,20,8,1,4,0,12,0.4,0.05,0.2,0.0,0.6,8,4,4,3,0.5,0.75,2.66,12.2,3.01,1,1,v1_deterministic
@shraddhakapoor,Shraddha,instagram,lifestyle,94650625,2.06,,TRUE,0,1,30,6,1,8,10,22,0.2,0.0333,0.2667,0.3333,0.7333,7,3,4,3,0.5714,1.0,2.7,25.48,2.55,0,1,v1_deterministic
@a4a4a4a4,A4,youtube,lifestyle,92700000.0,38.76,,FALSE,0.0,0,20,6,0,8,7,16,0.3,0.0,0.4,0.35,0.8,8,1,7,0,0.875,0.0,4.0,26.78,4.62,1,1,v1_deterministic
@topperguild,Topper Guild,youtube,lifestyle,89200000.0,24.09,,FALSE,0.0,0,20,8,1,6,4,11,0.4,0.05,0.3,0.2,0.55,9,3,6,2,0.6667,0.6667,3.42,21.68,4.14,1,1,v1_deterministic
@pinkfong,Baby Shark - Pinkfong Kids??Songs & Stories,youtube,music,84500000.0,16.96,,FALSE,0.0,0,20,5,0,4,5,3,0.25,0.0,0.2,0.25,0.15,10,1,5,1,0.5,1.0,2.44,19.81,3.39,0,1,v1_deterministic
@bts,BANGTANTV,youtube,lifestyle,84100000.0,10.92,,FALSE,0.0,0,20,5,5,8,5,12,0.25,0.25,0.4,0.25,0.6,6,4,4,2,0.6667,0.5,3.06,23.44,3.67,0,1,v1_deterministic
@klbrobijurithvik1,KL BRO Biju Rithvik,youtube,business,83800000.0,31.26,,FALSE,0.0,0,20,3,1,1,2,5,0.15,0.05,0.05,0.1,0.25,9,2,4,0,0.4444,0.0,2.42,13.41,3.67,0,1,v1_deterministic
@toysandcolors,Toys and Colors,youtube,music,82400000.0,50,,FALSE,0.0,0,20,4,0,7,4,10,0.2,0.0,0.35,0.2,0.5,4,0,2,0,0.5,0.0,2.36,13.29,2.94,1,1,v1_deterministic
@hybelabels,HYBE LABELS,youtube,music,80800000.0,6.68,KR,FALSE,0.0,0,20,1,2,4,1,6,0.05,0.1,0.2,0.05,0.3,8,0,5,0,0.625,0.0,2.51,13.2,2.05,1,1,v1_deterministic
@5minutecraftsyoutube,5-Minute Crafts,youtube,gaming,80700000.0,4.33,,FALSE,0.0,0,20,0,0,4,1,7,0.0,0.0,0.2,0.05,0.35,9,1,4,0,0.4444,0.0,1.63,13.74,1.22,0,1,v1_deterministic
@katrinakaif,Katrina Kaif,instagram,beauty,80013443.0,3.14,,TRUE,0.0,0,30,7,1,12,18,15,0.2333,0.0333,0.4,0.6,0.5,10,2,5,0,0.5,0.0,2.18,20.23,2.3,1,1,v1_deterministic
@bts_official_bighit,BTS,tiktok,lifestyle,79300000.0,6.44,,TRUE,0.0,0,40,15,6,18,10,22,0.375,0.15,0.45,0.25,0.55,10,1,8,0,0.8,0.0,3.65,25.24,4.15,1,1,v1_deterministic
@khaby00,Khabane Lame,instagram,lifestyle,77716767.0,2.42,,TRUE,0.0,0,30,10,5,18,5,20,0.3333,0.1667,0.6,0.1667,0.6667,8,3,6,0,0.75,0.0,3.4,22.18,2.65,1,1,v1_deterministic
@justinbieber,Justin Bieber,youtube,lifestyle,77300000.0,50,,FALSE,0.0,0,20,10,4,9,6,14,0.5,0.2,0.45,0.3,0.7,11,2,9,2,0.8182,1.0,3.68,30.63,5.14,1,1,v1_deterministic
@markrober,Mark Rober,youtube,education,76500000.0,50,,FALSE,0.0,0,20,0,1,2,1,3,0.0,0.05,0.1,0.05,0.15,8,1,3,1,0.375,1.0,2.47,8.85,3.05,1,1,v1_deterministic
@issei0806,ISSEI / ?ã£?ã,youtube,comedy,74900000.0,18.63,,FALSE,0.0,0,20,1,0,0,1,5,0.05,0.0,0.0,0.05,0.25,12,1,7,1,0.5833,1.0,2.57,19.2,3.89,0,1,v1_deterministic
@billieeilish,BILLIE EILISH,tiktok,lifestyle,74500000.0,9.57,,TRUE,0.0,0,40,16,4,17,12,25,0.4,0.1,0.425,0.3,0.625,8,1,4,1,0.5,1.0,2.73,21.56,2.77,0,1,v1_deterministic
@filmigaane,Shemaroo Filmi Gaane,youtube,music,74500000.0,4.72,,FALSE,0.0,0,20,5,0,8,2,6,0.25,0.0,0.4,0.1,0.3,6,3,5,1,0.8333,0.3333,3.6,21.31,4.06,0,1,v1_deterministic
@beingsalmankhan,Salman Khan,instagram,music,72769606.0,3.11,,TRUE,0.0,0,30,12,3,6,8,7,0.4,0.1,0.2,0.2667,0.2333,3,1,1,0,0.3333,0.0,2.2,22.69,1.86,1,1,v1_deterministic
@infobellshindirhymes,Infobells - Hindi,youtube,fashion,72200000.0,50,,FALSE,0.0,0,20,4,1,12,5,8,0.2,0.05,0.6,0.25,0.4,6,0,5,0,0.8333,0.0,3.36,22.56,5.04,1,1,v1_deterministic
@yrf,YRF,youtube,music,71700000.0,16.2,,FALSE,0.0,0,20,2,1,6,2,3,0.1,0.05,0.3,0.1,0.15,3,2,2,1,0.6667,0.5,2.73,27.8,4.32,0,1,v1_deterministic
@zhong,Zhong,youtube,business,71400000.0,14.21,,FALSE,0.0,0,20,3,1,1,2,6,0.15,0.05,0.05,0.1,0.3,7,1,3,0,0.4286,0.0,2.41,9.26,3.03,1,1,v1_deterministic
@anayakandhal,Anaya Kandhal,youtube,lifestyle,71100000.0,35.08,,FALSE,0.0,0,20,5,5,2,7,18,0.25,0.25,0.1,0.35,0.9,4,2,3,2,0.75,1.0,3.05,21.95,4.09,0,1,v1_deterministic
@anushkasharma,AnushkaSharma1588,instagram,lifestyle,68713893.0,6.23,,TRUE,0.0,0,30,6,2,10,10,24,0.2,0.0667,0.3333,0.3333,0.8,4,0,2,0,0.5,0.0,2.66,14.91,2.29,0,1,v1_deterministic
@eminem,EminemMusic,youtube,music,66600000.0,3.12,,FALSE,0.0,0,20,4,0,4,2,7,0.2,0.0,0.2,0.1,0.35,7,0,3,0,0.4286,0.0,2.73,15.35,2.43,0,1,v1_deterministic
@taylorswift,Taylor Swift,youtube,business,63100000.0,3.6,,FALSE,0.0,0,20,2,0,6,2,6,0.1,0.0,0.3,0.1,0.3,8,2,2,0,0.25,0.0,1.4,14.38,1.84,0,1,v1_deterministic
@pandaboi,PANDA BOI,youtube,business,62500000.0,34.19,,FALSE,0.0,0,20,1,1,2,0,7,0.05,0.05,0.1,0.0,0.35,5,0,1,0,0.2,0.0,1.47,6.97,2.31,0,1,v1_deterministic
@saregamamusic,Saregama Music,youtube,music,62100000.0,5.11,,FALSE,0.0,0,20,1,0,2,4,1,0.05,0.0,0.1,0.2,0.05,4,0,1,0,0.25,0.0,1.77,7.75,1.77,1,1,v1_deterministic
@loolookids,LooLoo Kids - Nursery Rhymes and Children's Songs,youtube,music,62000000.0,50,,FALSE,0.0,0,20,5,2,9,3,4,0.25,0.1,0.45,0.15,0.2,9,4,4,3,0.4444,0.75,2.56,26.12,3.55,1,1,v1_deterministic
@dudeperfect,Dude Perfect,youtube,lifestyle,61900000.0,50,,FALSE,0.0,0,20,4,3,6,2,8,0.2,0.15,0.3,0.1,0.4,4,0,1,0,0.25,0.0,2.09,13.16,2.34,1,1,v1_deterministic
@mashabearrussian,?Ð°?Ð° Ð¸ ?ÐµÐ´Ð²ÐµÐ´?,youtube,lifestyle,60000000.0,34.71,,FALSE,0.0,0,20,6,2,6,6,15,0.3,0.1,0.3,0.3,0.75,7,2,5,2,0.7143,1.0,2.95,23.03,4.2,1,1,v1_deterministic
@sonymusicindiavevo,SonyMusicIndiaVEVO,youtube,music,59800000.0,15.66,,FALSE,0.0,0,20,3,1,4,2,9,0.15,0.05,0.2,0.1,0.45,9,1,3,1,0.3333,1.0,2.25,6.98,2.88,0,1,v1_deterministic
@kyliejenner,Kylie Jenner,tiktok,lifestyle,59700000.0,5.05,,TRUE,0.0,0,40,10,3,14,10,30,0.25,0.075,0.35,0.25,0.75,7,4,3,1,0.4286,0.25,2.7,13.75,2.26,1,1,v1_deterministic
@torung,ToRung,youtube,comedy,59400000.0,50,,FALSE,0.0,0,20,0,0,3,1,4,0.0,0.0,0.15,0.05,0.2,8,0,6,0,0.75,0.0,2.85,15.26,4.77,0,1,v1_deterministic
@edsheeran,Ed Sheeran,youtube,lifestyle,59100000.0,50,,FALSE,0.0,0,20,8,3,4,6,11,0.4,0.15,0.2,0.3,0.55,11,6,8,1,0.7273,0.1667,3.48,24.04,3.99,0,1,v1_deterministic
@marshmello,Marshmello,youtube,lifestyle,58500000.0,50,US,FALSE,0.0,0,20,6,2,7,7,12,0.3,0.1,0.35,0.35,0.6,7,1,4,1,0.5714,1.0,3.31,24.6,3.45,0,1,v1_deterministic
@jio_hotstar_kids,JioHotstar Kids,youtube,lifestyle,58300000.0,8.1,,FALSE,0.0,0,20,1,1,5,11,16,0.05,0.05,0.25,0.55,0.8,5,0,1,0,0.2,0.0,1.51,17.46,2.04,0,1,v1_deterministic
@mikecrack,Mikecrack,youtube,lifestyle,58200000.0,16.66,,FALSE,0.0,0,20,6,3,10,5,16,0.3,0.15,0.5,0.25,0.8,1,0,1,0,1.0,0.0,3.99,22.94,4.93,1,1,v1_deterministic
@billieeilish,Billie Eilish,youtube,lifestyle,58000000.0,50,US,FALSE,0.0,0,20,5,2,5,3,13,0.25,0.1,0.25,0.15,0.65,9,3,6,3,0.6667,1.0,3.28,17.34,4.0,0,1,v1_deterministic
@billionsurprisetoys,Billion Surprise Toys,youtube,music,57900000.0,12.47,,FALSE,0.0,0,20,4,1,5,5,6,0.2,0.05,0.25,0.25,0.3,2,1,1,1,0.5,1.0,2.41,15.0,2.74,1,1,v1_deterministic
@mrbeast2,MrBeast 2,youtube,lifestyle,57400000.0,50,,FALSE,0.0,0,20,10,1,13,8,10,0.5,0.05,0.65,0.4,0.5,12,6,8,4,0.6667,0.6667,3.59,27.24,4.71,1,1,v1_deterministic
@getmovies,Get Movies,youtube,music,57100000.0,15.13,,FALSE,0.0,0,20,7,0,3,4,9,0.35,0.0,0.15,0.2,0.45,7,3,5,2,0.7143,0.6667,3.54,15.03,3.58,0,1,v1_deterministic
@celinedept,Celine Dept,youtube,lifestyle,57000000.0,43.1,,FALSE,0.0,0,20,2,3,7,11,15,0.1,0.15,0.35,0.55,0.75,12,0,7,0,0.5833,0.0,2.66,20.5,3.06,0,1,v1_deterministic
@arianagrande,Ariana Grande,youtube,lifestyle,57000000.0,3.08,,FALSE,0.0,0,20,5,4,10,5,15,0.25,0.2,0.5,0.25,0.75,7,2,2,2,0.2857,1.0,2.12,13.43,1.66,1,1,v1_deterministic
@mrbeastgaming,MrBeast Gaming,youtube,gaming,56100000.0,50,,FALSE,0.0,0,20,1,1,1,0,4,0.05,0.05,0.05,0.0,0.2,15,3,10,2,0.6667,0.6667,3.19,25.84,4.53,1,1,v1_deterministic
@shfa-1,shfa,youtube,lifestyle,55900000.0,47.64,,FALSE,0.0,0,20,7,2,9,3,13,0.35,0.1,0.45,0.15,0.65,4,1,2,0,0.5,0.0,3.2,16.15,3.75,0,1,v1_deterministic
@juegagerman,JuegaGerman,youtube,lifestyle,55300000.0,13.51,CL,FALSE,0.0,0,20,7,3,6,5,13,0.35,0.15,0.3,0.25,0.65,9,1,3,1,0.3333,1.0,2.58,15.17,2.92,0,1,v1_deterministic
@karolg,Karol G,tiktok,lifestyle,55200000.0,5.79,,TRUE,0.0,0,40,13,4,21,12,29,0.325,0.1,0.525,0.3,0.725,8,4,5,2,0.625,0.5,3.58,18.45,3.12,0,1,v1_deterministic
@mashabearen,Masha and The Bear,youtube,travel,54900000.0,28.55,,FALSE,0.0,0,20,6,0,5,2,11,0.3,0.0,0.25,0.1,0.55,5,0,4,0,0.8,0.0,3.43,21.0,4.75,1,1,v1_deterministic
@ishtarmusic,Ishtar Music,youtube,music,53200000.0,8.21,,FALSE,0.0,0,20,2,1,6,3,5,0.1,0.05,0.3,0.15,0.25,5,0,0,0,0.0,0.0,1.38,1.23,0.57,0,1,v1_deterministic
@badbunnypr,Bad Bunny,youtube,music,52700000.0,50,,FALSE,0.0,0,20,5,3,5,2,5,0.25,0.15,0.25,0.1,0.25,7,1,5,1,0.7143,1.0,3.33,21.07,3.74,1,1,v1_deterministic
@realfoolsshorts63,Real fools shorts official,youtube,business,52600000.0,50,,FALSE,0.0,0,20,0,2,1,1,3,0.0,0.1,0.05,0.05,0.15,11,0,7,0,0.6364,0.0,3.03,15.87,3.67,0,1,v1_deterministic
@roses_are_rosie,ROSÃ,tiktok,lifestyle,52600000.0,9.2,,TRUE,0.0,0,40,10,4,14,7,29,0.25,0.1,0.35,0.175,0.725,6,3,4,3,0.6667,1.0,2.83,20.26,3.42,0,1,v1_deterministic
@tseriesoldisgold,T-Series Bollywood Classics,youtube,music,52500000.0,24.11,,FALSE,0.0,0,20,1,1,4,6,6,0.05,0.05,0.2,0.3,0.3,10,1,6,1,0.6,1.0,2.87,11.13,3.92,0,1,v1_deterministic
@technogamerzofficial,Techno Gamerz,youtube,tech,51200000.0,26.24,IN,FALSE,0.0,0,20,2,0,3,2,3,0.1,0.0,0.15,0.1,0.15,3,0,2,0,0.6667,0.0,3.37,18.18,3.37,1,1,v1_deterministic
@mrindianhacker,MR. INDIAN HACKER,youtube,business,51100000.0,14.98,,FALSE,0.0,0,20,1,2,1,0,2,0.05,0.1,0.05,0.0,0.1,4,1,2,1,0.5,1.0,2.49,20.69,3.59,1,1,v1_deterministic
@ishowspeed,IShowSpeed,tiktok,lifestyle,50900000.0,26.73,,TRUE,0.0,0,40,9,3,17,9,29,0.225,0.075,0.425,0.225,0.725,3,1,2,1,0.6667,1.0,2.89,21.2,4.28,0,1,v1_deterministic
@fernanfloo,Fernanfloo,youtube,lifestyle,50400000.0,37.41,SV,FALSE,0.0,0,20,6,3,6,4,15,0.3,0.15,0.3,0.2,0.75,8,2,6,0,0.75,0.0,3.05,17.72,4.72,1,1,v1_deterministic
@mariaclaraejp,Maria Clara & JP,youtube,lifestyle,50200000.0,50,,FALSE,0.0,0,20,6,2,5,2,14,0.3,0.1,0.25,0.1,0.7,8,1,8,1,1.0,1.0,4.46,29.78,5.85,1,1,v1_deterministic
@shakira,Shakira,youtube,lifestyle,50100000.0,50,,FALSE,0.0,0,20,5,1,6,8,12,0.25,0.05,0.3,0.4,0.6,11,4,6,3,0.5455,0.75,2.72,18.82,3.95,0,1,v1_deterministic
@dushyant_kukreja,Dushyant kukreja,youtube,lifestyle,50000000.0,38.8,,FALSE,0.0,0,20,9,1,7,6,14,0.45,0.05,0.35,0.3,0.7,6,1,2,1,0.3333,1.0,2.61,16.48,2.87,1,1,v1_deterministic
@genevievesplayhouse,Genevieve's Playhouse - Learning Videos for Kids,youtube,music,49900000.0,50,,FALSE,0.0,0,20,2,3,5,3,3,0.1,0.15,0.25,0.15,0.15,11,4,6,3,0.5455,0.75,2.85,12.56,3.72,0,1,v1_deterministic
@benazelart,Ben Azelart,youtube,business,49800000.0,50,,FALSE,0.0,0,20,0,1,1,0,7,0.0,0.05,0.05,0.0,0.35,9,0,1,0,0.1111,0.0,1.09,10.04,1.87,0,1,v1_deterministic
@beatboxjcop,BeatboxJCOP,youtube,lifestyle,49600000.0,36,,FALSE,0.0,0,20,8,0,10,4,16,0.4,0.0,0.5,0.2,0.8,4,1,3,1,0.75,1.0,3.71,22.97,4.62,1,1,v1_deterministic
@iamsrk,Shah Rukh Khan,instagram,lifestyle,49589535.0,2.71,,TRUE,0.0,0,30,4,3,11,5,17,0.1333,0.1,0.3667,0.1667,0.5667,9,1,6,0,0.6667,0.0,2.61,14.73,2.88,1,1,v1_deterministic
@gaanesuneansune,Goldmines Gaane Sune Ansune,youtube,music,49000000.0,11.33,,FALSE,0.0,0,20,2,0,3,1,2,0.1,0.0,0.15,0.05,0.1,3,1,1,1,0.3333,1.0,2.01,11.85,2.16,1,1,v1_deterministic
@aboflah,AboFlah,youtube,lifestyle,49000000.0,21.28,KW,FALSE,0.0,0,20,8,3,3,7,13,0.4,0.15,0.15,0.35,0.65,8,5,5,4,0.625,0.8,3.55,23.35,3.9,1,1,v1_deterministic
@shortsbreak_official,Shorts Break,youtube,comedy,48500000.0,50,,FALSE,0.0,0,20,0,1,0,0,2,0.0,0.05,0.0,0.0,0.1,5,2,4,2,0.8,1.0,3.41,22.86,4.97,1,1,v1_deterministic
@beneagleofficial,BEN EAGLE,youtube,lifestyle,48400000.0,6.39,,FALSE,0.0,0,20,4,0,8,1,14,0.2,0.0,0.4,0.05,0.7,10,4,4,1,0.4,0.25,1.94,12.59,2.15,0,1,v1_deterministic
@alanwalkermusic,Alan Walker,youtube,lifestyle,47500000.0,35.34,NO,FALSE,0.0,0,20,10,3,8,4,18,0.5,0.15,0.4,0.2,0.9,13,5,9,5,0.6923,1.0,3.23,17.77,3.64,1,1,v1_deterministic
@skibidi,skibidi,youtube,lifestyle,47100000.0,50,,FALSE,0.0,0,20,3,3,9,8,12,0.15,0.15,0.45,0.4,0.6,8,1,4,0,0.5,0.0,2.63,18.24,3.46,0,1,v1_deterministic
@katyperry,Katy Perry,youtube,lifestyle,46900000.0,50,US,FALSE,0.0,0,20,4,3,6,6,16,0.2,0.15,0.3,0.3,0.8,8,3,5,1,0.625,0.3333,3.87,19.13,4.29,0,1,v1_deterministic
@rohitsharma45,Rohit Sharma,instagram,lifestyle,46736816.0,3.97,,TRUE,0.0,0,30,8,5,12,5,21,0.2667,0.1667,0.4,0.1667,0.7,3,1,1,0,0.3333,0.0,1.96,10.13,1.8,0,1,v1_deterministic
@priyal_kukreja,Priyal Kukreja,youtube,business,46400000.0,45.48,,FALSE,0.0,0,20,2,0,1,1,5,0.1,0.0,0.05,0.05,0.25,4,0,3,0,0.75,0.0,3.22,23.19,4.05,0,1,v1_deterministic
@mashaoso,Masha y el Oso,youtube,lifestyle,45800000.0,28.04,,FALSE,0.0,0,20,6,2,7,4,15,0.3,0.1,0.35,0.2,0.75,9,4,7,1,0.7778,0.25,3.8,26.03,4.57,1,1,v1_deterministic
@rihanna,Rihanna,youtube,lifestyle,45800000.0,50,,FALSE,0.0,0,20,1,2,5,1,16,0.05,0.1,0.25,0.05,0.8,15,3,9,0,0.6,0.0,2.51,15.63,3.82,1,1,v1_deterministic
@totalgaming093,Total Gaming,youtube,gaming,45600000.0,19.51,IN,FALSE,0.0,0,20,0,0,1,0,3,0.0,0.0,0.05,0.0,0.15,8,0,3,0,0.375,0.0,2.36,16.72,2.54,0,1,v1_deterministic
@carryminati,CarryMinati,youtube,gaming,45500000.0,46.55,IN,FALSE,0.0,0,20,0,1,2,0,5,0.0,0.05,0.1,0.0,0.25,6,1,3,1,0.5,1.0,2.69,12.11,3.51,0,1,v1_deterministic
@akshaynagwadiya,Akshay Nagwadiya,youtube,lifestyle,45500000.0,22,,FALSE,0.0,0,20,7,6,8,4,15,0.35,0.3,0.4,0.2,0.75,7,3,4,2,0.5714,0.6667,3.11,22.14,4.0,1,1,v1_deterministic
@kidsromashow,??Kids Roma Show,youtube,travel,44700000.0,47.73,,FALSE,0.0,0,20,0,0,3,0,8,0.0,0.0,0.15,0.0,0.4,4,0,1,0,0.25,0.0,2.07,14.94,2.44,0,1,v1_deterministic
@holasoygerman,HolaSoyGerman.,youtube,lifestyle,44500000.0,50,CL,FALSE,0.0,0,20,8,3,6,5,14,0.4,0.15,0.3,0.25,0.7,7,1,5,0,0.7143,0.0,3.23,17.5,4.04,0,1,v1_deterministic
@mavigadgets,MaviGadget,youtube,travel,44400000.0,11.34,,FALSE,0.0,0,20,6,0,3,5,11,0.3,0.0,0.15,0.25,0.55,8,1,2,1,0.25,1.0,1.72,14.09,2.49,1,1,v1_deterministic
@likenastya_show,Like Nastya Show,youtube,lifestyle,44400000.0,50,,FALSE,0.0,0,20,4,2,4,6,13,0.2,0.1,0.2,0.3,0.65,7,1,4,1,0.5714,1.0,2.7,25.11,3.75,1,1,v1_deterministic
@peppapigofficial,Peppa Pig - Official Channel,youtube,lifestyle,43700000.0,9.33,,FALSE,0.0,0,20,5,4,14,5,17,0.25,0.2,0.7,0.25,0.85,13,6,7,4,0.5385,0.6667,3.2,23.57,2.9,1,1,v1_deterministic
@brunomars,Bruno Mars,youtube,music,43400000.0,50,,FALSE,0.0,0,20,2,1,5,1,6,0.1,0.05,0.25,0.05,0.3,6,2,5,2,0.8333,1.0,3.12,24.85,4.93,0,1,v1_deterministic
@leonatafamily,LeoNata Family,youtube,comedy,43300000.0,19.84,,FALSE,0.0,0,20,0,2,1,0,4,0.0,0.1,0.05,0.0,0.2,6,2,4,2,0.6667,1.0,3.17,21.59,3.94,0,1,v1_deterministic
@xxxtentacion,XXXTENTACION,youtube,gaming,43000000.0,50,US,FALSE,0.0,0,20,3,0,1,1,6,0.15,0.0,0.05,0.05,0.3,9,0,3,0,0.3333,0.0,2.28,9.38,2.01,0,1,v1_deterministic
@zachking,Zach King,youtube,lifestyle,42900000.0,50,,FALSE,0.0,0,20,6,2,8,4,13,0.3,0.1,0.4,0.2,0.65,4,0,2,0,0.5,0.0,2.58,17.65,3.86,0,1,v1_deterministic
@kidschannelindia,Kids Channel India - Hindi Rhymes and Baby Songs,youtube,music,42400000.0,21.18,,FALSE,0.0,0,20,6,2,4,2,9,0.3,0.1,0.2,0.1,0.45,9,2,1,2,0.1111,1.0,1.69,8.47,2.41,1,1,v1_deterministic
@gulshankalra07,Gulshan Kalra,youtube,business,42400000.0,49.65,,FALSE,0.0,0,20,0,0,3,2,4,0.0,0.0,0.15,0.1,0.2,8,0,6,0,0.75,0.0,3.47,19.34,4.3,0,1,v1_deterministic
@brentrivera,Brent Rivera,youtube,business,42100000.0,34.68,,FALSE,0.0,0,20,0,0,2,0,3,0.0,0.0,0.1,0.0,0.15,9,1,3,0,0.3333,0.0,2.16,4.85,2.21,0,1,v1_deterministic
@badbunny,Bad Bunny,tiktok,lifestyle,41900000.0,50,,TRUE,0.0,0,40,13,5,14,9,30,0.325,0.125,0.35,0.225,0.75,9,4,9,4,1.0,1.0,4.87,31.84,5.12,1,1,v1_deterministic
@jasonderulo,Jason Derulo,youtube,lifestyle,41900000.0,10.84,,FALSE,0.0,0,20,4,2,7,11,12,0.2,0.1,0.35,0.55,0.6,8,1,2,1,0.25,1.0,1.79,7.2,2.13,0,1,v1_deterministic
@thegeetagurjar,The geeta gurjar,youtube,lifestyle,41800000.0,35.99,,FALSE,0.0,0,20,3,1,7,7,13,0.15,0.05,0.35,0.35,0.65,11,8,6,3,0.5455,0.375,3.38,15.08,3.46,1,1,v1_deterministic
@littlebabybum,Little Baby Bum - Nursery Rhymes & Kids Songs,youtube,music,41700000.0,31.61,,FALSE,0.0,0,20,7,2,5,0,4,0.35,0.1,0.25,0.0,0.2,8,2,6,1,0.75,0.5,4.11,25.39,4.92,1,1,v1_deterministic
@daddyyankee,Daddy Yankee,youtube,lifestyle,41300000.0,50,,FALSE,0.0,0,20,5,1,7,7,17,0.25,0.05,0.35,0.35,0.85,10,3,7,2,0.7,0.6667,3.08,20.47,4.41,1,1,v1_deterministic
@karolg,KAROL G,youtube,lifestyle,41100000.0,50,,FALSE,0.0,0,20,6,2,4,4,17,0.3,0.1,0.2,0.2,0.85,10,5,6,2,0.6,0.4,3.91,21.94,4.01,0,1,v1_deterministic
@apnapunjab,T-Series Apna Punjab,youtube,music,41000000.0,7.35,,FALSE,0.0,0,20,3,1,4,2,6,0.15,0.05,0.2,0.1,0.3,8,2,2,2,0.25,1.0,1.61,11.87,1.7,0,1,v1_deterministic
@nichlmao,NichLmao,youtube,lifestyle,41000000.0,29.75,,FALSE,0.0,0,20,2,3,8,5,12,0.1,0.15,0.4,0.25,0.6,9,6,6,5,0.6667,0.8333,3.03,19.39,4.37,0,1,v1_deterministic
